iter	Passed	Remaining
421	671	919
422	673	918
423	676	918
424	677	916
425	679	914
426	680	913
427	681	911
428	683	909
429	684	907
430	686	905
431	687	903
432	689	903
433	691	901
434	693	900
435	694	898
436	696	896
437	697	894
438	698	893
439	700	891
440	701	889
441	703	887
442	705	886
443	706	885
444	708	883
445	710	881
446	711	880
447	712	878
448	714	876
449	715	874
450	717	872
451	718	871
452	720	869
453	722	868
454	723	866
455	725	864
456	726	863
457	727	861
458	729	859
459	730	857
460	732	855
461	733	854
462	734	852
463	737	851
464	739	850
465	740	848
466	742	847
467	744	845
468	745	844
469	746	842
470	748	840
471	749	838
472	751	836
473	752	835
474	755	834
475	756	832
476	757	831
477	759	829
478	760	827
479	762	825
480	763	824
481	765	822
482	766	820
483	768	819
484	770	817
485	771	816
486	773	814
487	775	813
488	776	811
489	778	809
490	779	808
491	780	806
492	782	804
493	783	802
494	785	801
495	787	799
496	788	798
497	789	796
498	791	794
499	792	792
500	794	791
501	795	789
502	797	787
503	798	785
504	800	784
505	802	782
506	803	781
507	804	779
508	806	777
509	807	776
510	809	774
511	810	772
512	812	771
513	813	769
514	815	767
515	818	767
516	819	765
517	821	763
518	822	762
519	824	760
520	825	758
521	826	757
522	828	755
523	829	753
524	831	751
525	834	751
526	835	749
527	837	748
528	838	746
529	839	744
530	841	743
531	842	741
532	844	739
533	845	738
534	847	736
535	850	735
536	851	734
537	853	732
538	854	731
539	856	729
540	857	727
541	859	726
542	860	724
543	862	722
544	863	721
545	866	720
546	867	718
547	869	716
548	870	715
549	872	713
550	873	711
551	875	710
552	876	708
553	878	706
554	880	705
555	882	704
556	883	702
557	885	701
558	887	699
559	888	698
560	890	696
561	891	694
562	892	693
563	894	691
564	896	689
565	898	688
566	899	687
567	901	685
568	903	684
569	905	683
570	906	681
571	908	679
572	911	679
573	914	678
574	916	677
575	919	676
576	921	675
577	924	674
578	925	672
579	926	671
580	929	670
581	931	668
582	932	667
583	935	666
584	937	665
585	939	663
586	940	661
587	942	660
588	945	659
589	947	658
590	949	657
591	950	655
592	952	653
593	955	652
594	957	651
595	960	651
596	963	650
597	965	649
598	968	648
599	971	647
600	972	645
601	974	644
602	976	643
603	979	642
604	980	640
605	982	638
606	984	637
607	986	636
608	988	634
609	990	633
610	993	632
611	995	631
612	998	630
613	1000	629
614	1003	628
615	1004	626
616	1006	624
617	1009	624
618	1012	623
619	1013	621
620	1015	619
621	1018	618
622	1019	616
623	1020	615
624	1022	613
625	1024	611
626	1026	610
627	1027	608
628	1029	607
629	1030	605
630	1032	603
631	1033	601
632	1034	600
633	1036	598
634	1037	596
635	1039	594
636	1042	593
637	1043	592
638	1045	590
639	1048	589
640	1050	588
641	1051	586
642	1054	585
643	1056	583
644	1058	582
645	1059	580
646	1062	579
647	1064	578
648	1067	577
649	1068	575
650	1071	574
651	1074	573
652	1076	572
653	1078	570
654	1081	569
655	1084	568
656	1086	567
657	1088	565
658	1090	564
659	1092	562
660	1094	561
661	1096	559
662	1098	558
663	1099	556
664	1101	554
665	1102	552
666	1105	551
667	1107	550
668	1108	548
669	1110	546
670	1111	545
671	1113	543
672	1114	541
673	1115	539
674	1117	537
675	1118	536
676	1121	534
677	1122	533
678	1124	531
679	1125	529
680	1127	527
681	1128	526
682	1129	524
683	1131	522
684	1133	521
685	1135	519
686	1137	518
687	1140	517
688	1142	515
689	1143	513
690	1145	512
691	1146	510
692	1148	508
693	1149	506
694	1150	505
695	1153	503
696	1155	502
697	1156	500
698	1158	498
699	1159	497
700	1161	495
701	1162	493
702	1164	491
703	1165	490
704	1168	489
705	1171	487
706	1172	486
707	1174	484
708	1175	482
709	1177	480
710	1178	479
711	1180	477
712	1181	475
713	1183	473
714	1186	472
715	1187	471
716	1189	469
717	1190	467
718	1192	465
719	1193	464
720	1195	462
721	1196	460
722	1198	459
723	1200	457
724	1202	456
725	1204	454
726	1205	452
727	1207	451
728	1208	449
729	1210	447
730	1211	445
731	1213	444
732	1214	442
733	1216	440
734	1218	439
735	1220	437
736	1221	435
737	1223	434
738	1224	432
739	1226	430
740	1227	429
741	1228	427
742	1230	425
743	1232	424
744	1234	422
745	1236	420
746	1237	419
747	1239	417
748	1240	415
749	1242	414
750	1243	412
751	1245	410
752	1246	408
753	1248	407
754	1251	406
755	1252	404
756	1254	402
757	1255	400
758	1257	399
759	1258	397
760	1260	395
761	1261	394
762	1263	392
763	1265	390
764	1266	389
765	1268	387
766	1270	385
767	1271	384
768	1273	382
769	1274	380
770	1275	378
771	1277	377
772	1278	375
773	1281	374
774	1283	372
775	1284	370
776	1286	369
777	1287	367
778	1288	365
779	1290	363
780	1291	362
781	1293	360
782	1294	358
783	1296	357
784	1298	355
785	1299	353
786	1300	352
787	1302	350
788	1304	348
789	1305	347
790	1306	345
791	1308	343
792	1309	341
793	1311	340
794	1313	338
795	1315	337
796	1316	335
797	1318	333
798	1319	331
799	1321	330
800	1322	328
801	1324	326
802	1325	325
803	1326	323
804	1329	322
805	1330	320
806	1332	318
807	1333	316
808	1336	315
809	1338	313
810	1339	312
811	1342	310
812	1344	309
813	1347	307
814	1348	306
815	1350	304
816	1351	302
817	1353	301
818	1354	299
819	1356	297
820	1357	295
821	1359	294
822	1361	292
823	1362	291
824	1364	289
825	1366	287
826	1367	286
827	1368	284
828	1370	282
829	1371	280
830	1373	279
831	1375	277
832	1377	276
833	1378	274
834	1380	272
835	1381	271
836	1383	269
837	1384	267
838	1386	266
839	1387	264
840	1389	262
841	1390	260
842	1392	259
843	1394	257
844	1395	256
845	1397	254
846	1398	252
847	1400	251
848	1401	249
849	1403	247
850	1404	245
851	1405	244
852	1407	242
853	1410	241
854	1411	239
855	1413	237
856	1414	236
857	1416	234
858	1417	232
859	1418	230
860	1420	229
861	1421	227
862	1423	225
863	1425	224
864	1427	222
865	1428	221
866	1430	219
867	1431	217
868	1433	216
869	1434	214
870	1435	212
871	1437	211
872	1439	209
873	1442	207
874	1443	206
875	1445	204
876	1446	202
877	1448	201
878	1449	199
879	1451	197
880	1452	196
881	1453	194
882	1456	192
883	1458	191
884	1459	189
885	1460	187
886	1462	186
887	1463	184
888	1465	182
889	1466	181
890	1467	179
891	1469	177
892	1470	176
893	1473	174
894	1474	173
895	1476	171
896	1477	169
897	1479	167
898	1480	166
899	1481	164
900	1483	162
901	1484	161
902	1486	159
903	1488	158
904	1490	156
905	1491	154
906	1493	153
907	1494	151
908	1496	149
909	1497	148
910	1498	146
911	1500	144
912	1501	143
913	1503	141
914	1505	139
915	1507	138
916	1508	136
917	1510	134
918	1511	133
919	1512	131
920	1514	129
921	1515	128
922	1517	126
923	1518	124
924	1521	123
925	1522	121
926	1524	120
927	1525	118
928	1527	116
929	1528	115
930	1529	113
931	1531	111
932	1532	110
933	1534	108
934	1536	106
935	1538	105
936	1540	103
937	1541	101
938	1542	100
939	1544	98
940	1545	96
941	1547	95
942	1548	93
943	1550	91
944	1552	90
945	1554	88
946	1555	87
947	1557	85
948	1558	83
949	1560	82
950	1561	80
951	1563	78
952	1564	77
953	1565	75
954	1568	73
955	1570	72
956	1571	70
957	1573	68
958	1574	67
959	1576	65
960	1577	64
961	1579	62
962	1580	60
963	1581	59
964	1584	57
965	1586	55
966	1587	54
967	1589	52
968	1590	50
969	1591	49
970	1593	47
971	1594	45
972	1596	44
973	1597	42
974	1599	41
975	1601	39
976	1602	37
977	1604	36
978	1605	34
979	1607	32
980	1608	31
981	1610	29
982	1611	27
983	1613	26
984	1614	24
985	1616	22
986	1618	21
987	1621	19
988	1622	18
989	1624	16
990	1625	14
991	1627	13
992	1628	11
993	1630	9
994	1632	8
995	1634	6
996	1635	4
997	1637	3
998	1638	1
999	1640	0
